train_loss,val_loss,hour_acc,minute_acc,second_acc,full_time_acc
9.310368194580079,8.634831019810267,0.57,0.125,0.12,0.0
4.552265396118164,5.0499773025512695,0.815,0.53,0.57,0.26
1.9246200466156005,2.6357957295009067,0.955,0.85,0.84,0.665
0.7421641898155212,1.6714659758976527,0.995,0.905,0.95,0.86
0.32638919949531553,1.0656772681644984,1.0,0.925,0.93,0.855
0.1621149265766144,0.672125084059579,1.0,0.975,0.985,0.96
0.09383158177137375,0.5029900457177844,1.0,0.99,0.985,0.975
0.06446653246879577,0.4410596660205296,1.0,0.98,0.99,0.97
0.05054828256368637,0.3817668046270098,1.0,0.99,0.995,0.985
0.04014989122748375,0.32681230562073843,1.0,0.995,0.995,0.99
