train_loss,val_loss
0.06587695807218552,0.027979421357695874
0.026531093381345273,0.025252230178851347
0.025498420894145966,0.024294970843654413
0.024745498448610306,0.023579791618081238
0.024725013114511966,0.023534306539939
0.024093781635165214,0.02305634434406574
0.023904293552041055,0.023099104658915445
0.023974471166729926,0.02355007340128605
0.02380390964448452,0.02320698233178029
0.023573872782289982,0.0225638270091552
0.02347815506160259,0.023276091624911014
0.02357512429356575,0.02309203534745253
0.02355402782559395,0.023604511498258665
0.023307294733822346,0.02253487527083892
0.023389729373157024,0.022289680317044258
0.023427027203142645,0.02251570700452878
0.02329874750226736,0.022369142478475205
0.023421119153499603,0.022371286956163552
0.023079725299030542,0.02203754851451287
0.022811960149556398,0.02220972548597134
0.022876144014298917,0.021690124072707616
0.022314743604511023,0.02237327439853778
0.021955131068825722,0.02159987948834896
0.022156266123056413,0.021460220934106752
0.021721565201878547,0.021392995921465065
0.02127392552793026,0.020312808812237702
0.02108849139884114,0.02053391754340667
0.020832246113568546,0.02064768153314407
0.02054108027368784,0.019944494160322044
0.020505892913788556,0.020703391673473213
