train_loss,val_loss
0.08843466252088547,0.043126613761369996
0.031143705286085607,0.02640771120786667
0.026170932129025458,0.02514932920726446
0.025527464970946313,0.024351297806088742
0.025185004100203513,0.024462458605949696
0.024907270409166814,0.025323223179349534
0.02467271391302347,0.023445316805289343
0.024310973361134528,0.02360183072204773
0.02502239003777504,0.023222684287107907
0.024408863559365272,0.023171213527138416
0.02442855890840292,0.023254492964882117
0.024094888530671595,0.02294847111289318
0.02501023009419441,0.023104609348453008
0.024390550665557384,0.023255732053747542
0.024018200170248746,0.023851365137558717
0.023938097544014453,0.022984447387548592
0.024032862409949302,0.02263739762397913
0.02367999643087387,0.02255890776331608
0.023834885358810426,0.02416025732572262
0.02392573107033968,0.02304166268843871
0.024112369120121,0.022806880422509633
0.023801170028746127,0.022606982491337337
0.023821780532598494,0.0237247680242245
0.024426660686731338,0.02306307379442912
0.02381992943584919,0.022919415997771118
0.023720528371632098,0.022605292642345794
0.023590544760227202,0.022538414511543054
0.02370362799614668,0.022673467317452796
0.02386167299002409,0.02258385646228607
0.02373641500249505,0.022515092904751118
